,,2003,
33611,Automobile and light-duty motor vehicle manufacturing,38473.397,1
21111,Oil and gas extraction (except oil sands),33420.817,1
33641,Aerospace product and parts manufacturing,8690.909,1
32212,Paper mills,8368.498,1
32411,Petroleum refineries,7670.986,1
32111,Sawmills and wood preservation,6906.056,1
33131,Alumina and aluminum production and processing,5024.045,1
32211,Pulp mills,4907.625,1
32619,Other plastic product manufacturing,4121.622,1
32121,"Veneer, plywood and engineered wood product manufacturing",3857.996,1
32521,Resin and synthetic rubber manufacturing,3837.965,1
33631,Motor vehicle gasoline engine and engine parts manufacturing,3669.562,1
33141,Non-ferrous metal (except aluminum) smelting and refining,3625.775,1
31161,Animal slaughtering and processing,3235.092,1
33361,"Engine, turbine and power transmission equipment manufacturing",3051.055,1
33639,Other motor vehicle parts manufacturing,3045.418,1
21239,Other non-metallic mineral mining and quarrying,2906.13,1
33411,Computer and peripheral equipment manufacturing,2880.211,1
33637,Motor vehicle metal stamping,2804.735,1
33441,Semiconductor and other electronic component manufacturing,2563.604,1
32541,Pharmaceutical and medicine manufacturing,2426.78,0
31171,Seafood product preparation and packaging,2393.649,1
33111,Iron and steel mills and ferro-alloy manufacturing,2303.818,1
33612,Heavy-duty truck manufacturing,2301.917,1
33324,Industrial machinery manufacturing,2281.99,0
