"industry_code";"industry_name";"year";"exports";"imports";"trade_balance"
11111;"Others";2002;86790.64;63183.43;23607.21
11111;"Others";2003;86386.71;67010.96;19375.75
11111;"Others";2004;96376.36;73612.64;22763.72
11111;"Others";2005;105070.04;80453.87;24616.17
11111;"Others";2006;112445.37;90097.06;22348.31
11111;"Others";2007;116087.38;96312.9;19774.48
11111;"Others";2008;119141.4;102363.48;16777.92
11111;"Others";2009;89006.54;82977.75;6028.79
11111;"Others";2010;97679.81;96980.24;699.57
11111;"Others";2011;109639.18;107590.27;2048.91
11111;"Others";2012;112435.7;111149.17;1286.53
11111;"Others";2013;114781.92;111567.92;3214.0
11111;"Others";2014;119570.39;111807.52;7762.87
11111;"Others";2015;118547.46;102321.29;16226.17
11111;"Others";2016;116760.47;97362.66;19397.81
11111;"Others";2017;119478.7;100780.81;18697.89
11111;"Others";2018;126236.51;105210.04;21026.47
11111;"Others";2019;126493.74;102155.25;24338.49
11111;"Others";2020;117213.4;95107.32;22106.08
11111;"Others";2021;139522.24;110203.01;29319.23
11111;"Others";2022;156074.49;123928.13;32146.36
11111;"Others";2023;160915.73;0.0;160915.73
11111;"Others";2024;159799.93;0.0;159799.93
11112;"Oilseed (except soybean) farming";2008;4333.86;0.0;4333.86
11112;"Oilseed (except soybean) farming";2009;3481.92;0.0;3481.92
11112;"Oilseed (except soybean) farming";2010;3769.12;0.0;3769.12
11112;"Oilseed (except soybean) farming";2011;5036.91;0.0;5036.91
11112;"Oilseed (except soybean) farming";2012;5632.71;0.0;5632.71
11112;"Oilseed (except soybean) farming";2013;4761.57;0.0;4761.57
11112;"Oilseed (except soybean) farming";2014;5314.14;0.0;5314.14
11112;"Oilseed (except soybean) farming";2015;4431.87;0.0;4431.87
11112;"Oilseed (except soybean) farming";2016;4788.21;0.0;4788.21
11112;"Oilseed (except soybean) farming";2017;5431.53;0.0;5431.53
11112;"Oilseed (except soybean) farming";2018;4897.29;0.0;4897.29
11112;"Oilseed (except soybean) farming";2019;3594.13;0.0;3594.13
11112;"Oilseed (except soybean) farming";2020;5132.17;0.0;5132.17
11112;"Oilseed (except soybean) farming";2021;5556.65;0.0;5556.65
11113;"Dry pea and bean farming";2015;3303.82;0.0;3303.82
11113;"Dry pea and bean farming";2016;3114.74;0.0;3114.74
11114;"Wheat farming";2007;4371.71;0.0;4371.71
11114;"Wheat farming";2008;6557.54;0.0;6557.54
11114;"Wheat farming";2009;5274.15;0.0;5274.15
11114;"Wheat farming";2010;4537.19;0.0;4537.19
11114;"Wheat farming";2011;5744.91;0.0;5744.91
11114;"Wheat farming";2012;6155.04;0.0;6155.04
11114;"Wheat farming";2013;6493.56;0.0;6493.56
11114;"Wheat farming";2014;7203.69;0.0;7203.69
11114;"Wheat farming";2015;6220.95;0.0;6220.95
11114;"Wheat farming";2016;4508.26;0.0;4508.26
11114;"Wheat farming";2017;5092.91;0.0;5092.91
11114;"Wheat farming";2018;5716.41;0.0;5716.41
11114;"Wheat farming";2019;5390.98;0.0;5390.98
11114;"Wheat farming";2020;6305.3;0.0;6305.3
11114;"Wheat farming";2021;6650.33;0.0;6650.33
11114;"Wheat farming";2022;7960.18;0.0;7960.18
21111;"Oil and gas extraction (except oil sands)";2002;2479.99;0.0;2479.99
21111;"Oil and gas extraction (except oil sands)";2003;2906.13;1452.61;1453.52
21111;"Oil and gas extraction (except oil sands)";2004;40329.95;2423.34;37906.61
21111;"Oil and gas extraction (except oil sands)";2005;4199.69;3655.51;544.18
21111;"Oil and gas extraction (except oil sands)";2006;58310.69;2928.18;55382.51
