"industry_code";"year";"export_value"
11111;2002;86790.64
11111;2003;86386.71
11111;2004;96376.36
11111;2005;105070.04
11111;2006;112445.37
11111;2007;116087.38
11111;2008;119141.4
11111;2009;89006.54
11111;2010;97679.81
11111;2011;109639.18
11111;2012;112435.7
11111;2013;114781.92
11111;2014;119570.39
11111;2015;118547.46
11111;2016;116760.47
11111;2017;119478.7
11111;2018;126236.51
11111;2019;126493.74
11111;2020;117213.4
11111;2021;139522.24
11111;2022;156074.49
11111;2023;160915.73
11111;2024;159799.93
11112;2008;4333.86
11112;2009;3481.92
11112;2010;3769.12
11112;2011;5036.91
11112;2012;5632.71
11112;2013;4761.57
11112;2014;5314.14
11112;2015;4431.87
11112;2016;4788.21
11112;2017;5431.53
11112;2018;4897.29
11112;2019;3594.13
11112;2020;5132.17
11112;2021;5556.65
11113;2015;3303.82
11113;2016;3114.74
11114;2007;4371.71
11114;2008;6557.54
11114;2009;5274.15
11114;2010;4537.19
11114;2011;5744.91
11114;2012;6155.04
11114;2013;6493.56
11114;2014;7203.69
11114;2015;6220.95
11114;2016;4508.26
11114;2017;5092.91
11114;2018;5716.41
11114;2019;5390.98
11114;2020;6305.3
11114;2021;6650.33
11114;2022;7960.18
21111;2002;2479.99
21111;2003;2906.13
21111;2004;40329.95
21111;2005;4199.69
21111;2006;58310.69
21111;2007;65446.24
21111;2008;95437.52
21111;2009;51762.78
21111;2010;65980.28
21111;2011;83767.98
21111;2012;84040.43
21111;2013;90204.15
21111;2014;103097.48
21111;2015;58280.84
21111;2016;46168.76
21111;2017;62053.02
21111;2018;74820.65
21111;2019;74998.1
21111;2020;52773.63
21111;2021;93101.71
21111;2022;140020.65
21111;2023;106300.24
21111;2024;108432.22
21211;2008;5788.79
21211;2009;4353.32
21211;2010;5835.01
21211;2011;8114.33
21211;2012;6344.84
21211;2013;5364.53
21211;2014;3786.49
21211;2016;3362.69
21211;2017;5217.55
21211;2018;5809.74
21211;2019;5344.67
21211;2021;6105.09
21211;2022;10792.56
21221;2009;2950.63
21221;2010;3098.03
21221;2011;4223.43
21221;2012;4155.45
21221;2013;4420.9
21221;2014;3997.26
21221;2017;3514.92
21221;2018;4112.89
21221;2019;4947.3
21221;2020;5715.82
21221;2021;8079.66
21221;2022;6758.52
21222;2005;3407.72
21222;2006;4768.16
21222;2007;5500.25
21222;2008;7676.7
21222;2009;7308.9
21222;2010;13413.05
21222;2011;17001.94
21222;2012;15312.64
21222;2013;15658.96
21222;2014;14982.38
21222;2015;12374.52
21222;2016;12407.12
21222;2017;13173.36
21222;2018;12269.35
21222;2019;15777.27
21222;2020;16097.11
21222;2021;14954.38
21222;2022;18327.26
21222;2023;8140.28
21222;2024;5936.54
21223;2011;3822.47
21223;2014;3672.88
21223;2015;3206.07
21223;2020;3614.74
