"industry_code";"year";"import_value"
11111;2002;63183.43
11111;2003;67010.96
11111;2004;73612.64
11111;2005;80453.87
11111;2006;90097.06
11111;2007;96312.9
11111;2008;102363.48
11111;2009;82977.75
11111;2010;96980.24
11111;2011;107590.27
11111;2012;111149.17
11111;2013;111567.92
11111;2014;111807.52
11111;2015;102321.29
11111;2016;97362.66
11111;2017;100780.81
11111;2018;105210.04
11111;2019;102155.25
11111;2020;95107.32
11111;2021;110203.01
11111;2022;123928.13
21111;2003;1452.61
21111;2004;2423.34
21111;2005;3655.51
21111;2006;2928.18
21111;2007;3932.82
21111;2008;6478.42
21111;2009;4312.63
21111;2010;4795.42
21111;2011;5963.18
21111;2012;5388.49
21111;2013;8675.69
21111;2014;15950.58
21111;2015;10098.68
21111;2016;7163.09
21111;2017;9708.6
21111;2018;11773.18
21111;2019;12788.25
21111;2020;7988.2
21111;2021;10062.57
21111;2022;16046.51
21111;2023;12644.79
21111;2024;11659.18
31161;2012;2784.07
31161;2013;2813.38
31161;2014;2731.62
31161;2015;2502.46
31161;2016;2287.98
31161;2017;2300.35
31161;2018;2187.23
31161;2020;2203.95
31161;2021;2495.87
31161;2022;2667.09
31161;2024;2740.73
32212;2002;1538.18
32212;2003;1618.48
32212;2004;1816.6
32212;2005;1906.14
32212;2006;2140.08
32212;2007;2303.42
32212;2008;2466.98
32212;2009;2156.14
32212;2010;2440.88
32212;2011;2444.04
32411;2005;2090.74
32411;2006;2681.39
32411;2007;3575.25
32411;2008;6166.4
32411;2009;3117.08
32411;2010;4877.99
32411;2011;8966.75
32411;2012;9844.67
32411;2013;13193.31
32411;2014;14347.13
32411;2015;9039.4
32411;2016;7697.44
32411;2017;8204.29
32411;2018;11896.76
32411;2019;9889.75
32411;2020;6668.36
32411;2021;10186.86
32411;2022;15277.87
32411;2023;12889.16
32411;2024;11273.54
32519;2002;1871.83
32519;2003;2000.51
32519;2004;2502.37
32519;2005;2869.31
32519;2006;2856.52
32519;2007;3232.48
32519;2008;3200.0
32519;2009;2402.36
32519;2010;2726.54
32519;2011;3290.46
32519;2012;3629.6
32519;2013;3710.34
32519;2014;3782.64
32519;2015;3069.83
32519;2016;2827.1
32519;2017;3160.31
32519;2018;3172.49
32519;2019;3014.8
32519;2020;2901.15
32519;2021;4354.22
32519;2022;6206.63
32519;2023;6250.61
32519;2024;5758.74
32521;2002;3218.62
32521;2003;3525.32
32521;2004;4051.69
32521;2005;4759.84
32521;2006;5107.03
32521;2007;5025.43
32521;2008;5218.54
32521;2009;3791.29
32521;2010;5110.63
32521;2011;5846.25
32521;2012;5888.43
32521;2013;5776.66
32521;2014;6082.52
32521;2015;5296.47
32521;2016;5080.82
32521;2017;5547.6
32521;2018;5901.26
32521;2019;5243.16
32521;2020;4675.77
32521;2021;6874.36
32521;2022;7295.63
32521;2023;5874.15
32521;2024;5844.78
32541;2002;2548.74
32541;2003;3062.31
32541;2004;3253.46
32541;2005;3312.97
32541;2006;3762.28
32541;2007;3940.23
32541;2008;3486.64
32541;2009;3871.22
32541;2010;4452.3
32541;2011;4970.15
32541;2012;4655.14
32541;2013;4375.72
32541;2014;4877.74
32541;2015;5103.45
32541;2016;4761.7
32541;2017;4535.77
32541;2018;4452.21
32541;2019;4373.01
32541;2020;4841.44
32541;2021;8268.65
32541;2022;7038.89
32541;2023;5812.82
32541;2024;6645.34
32561;2009;1807.2
32561;2016;2074.51
32561;2017;2128.78
32561;2018;2124.65
32561;2020;2564.36
32561;2021;2355.86
32561;2022;2655.54
32561;2023;2619.06
32599;2002;2097.62
32599;2003;2251.75
32599;2004;2372.14
32599;2005;2586.51
32599;2006;2616.99
32599;2007;2663.61
32599;2008;2588.71
32599;2009;2296.38
32599;2010;2554.95
32599;2011;3173.48
32599;2012;2822.1
32599;2013;2944.43
32599;2014;2791.81
32599;2015;2593.52
32599;2016;2454.81
32599;2017;2503.51
32599;2018;2587.49
32599;2019;2665.7
32599;2020;2417.33
32599;2021;2804.8
32599;2022;3268.97
32599;2023;3302.9
32599;2024;3408.43
32619;2002;1511.46
32619;2003;1534.46
32619;2004;1623.12
32619;2005;1818.57
32619;2006;1920.09
32619;2007;2111.15
32619;2008;2285.67
32619;2009;1936.33
32619;2010;2311.22
32619;2011;2536.07
32619;2012;2677.86
32619;2013;2702.66
32619;2014;2779.29
32619;2015;2596.33
32619;2016;2542.47
32619;2017;2607.03
32619;2018;2691.01
32619;2019;2673.69
32619;2020;2581.81
32619;2021;3069.42
32619;2022;3543.03
