"industry_code";"year"
11111;2002
11111;2003
11111;2004
11111;2005
11111;2006
11111;2007
11111;2008
11111;2009
11111;2010
11111;2011
11111;2012
11111;2013
11111;2014
11111;2015
11111;2016
11111;2017
11111;2018
11111;2019
11111;2020
11111;2021
11111;2022
11111;2023
11111;2024
11112;2008
11112;2009
11112;2010
11112;2011
11112;2012
11112;2013
11112;2014
11112;2015
11112;2016
11112;2017
11112;2018
11112;2019
11112;2020
11112;2021
11113;2015
11113;2016
11114;2007
11114;2008
11114;2009
11114;2010
11114;2011
11114;2012
11114;2013
11114;2014
11114;2015
11114;2016
11114;2017
11114;2018
11114;2019
11114;2020
11114;2021
11114;2022
21111;2002
21111;2003
21111;2004
21111;2005
21111;2006
21111;2007
21111;2008
21111;2009
21111;2010
21111;2011
21111;2012
21111;2013
21111;2014
21111;2015
21111;2016
21111;2017
21111;2018
21111;2019
21111;2020
21111;2021
21111;2022
21111;2023
21111;2024
21211;2008
21211;2009
21211;2010
21211;2011
21211;2012
21211;2013
21211;2014
21211;2016
21211;2017
21211;2018
21211;2019
21211;2021
21211;2022
21221;2009
21221;2010
21221;2011
21221;2012
21221;2013
21221;2014
21221;2017
21221;2018
21221;2019
21221;2020
21221;2021
21221;2022
21222;2005
21222;2006
21222;2007
21222;2008
21222;2009
21222;2010
21222;2011
21222;2012
21222;2013
21222;2014
21222;2015
21222;2016
21222;2017
21222;2018
21222;2019
21222;2020
21222;2021
21222;2022
21222;2023
21222;2024
21223;2011
21223;2014
21223;2015
21223;2020
21239;2002
21239;2003
21239;2004
21239;2005
21239;2006
21239;2007
21239;2008
21239;2009
21239;2010
21239;2011
21239;2012
21239;2013
21239;2014
21239;2015
21239;2016
21239;2017
21239;2018
21239;2019
21239;2020
21239;2021
21239;2022
21239;2023
21239;2024
31122;2010
31122;2011
31122;2012
31122;2013
31122;2014
31122;2015
31122;2016
31122;2017
31122;2018
31122;2019
31122;2020
31122;2021
31122;2022
31122;2023
31122;2024
31161;2002
31161;2003
31161;2004
31161;2005
31161;2006
31161;2007
31161;2008
31161;2009
31161;2010
31161;2011
31161;2012
31161;2013
31161;2014
31161;2015
31161;2016
31161;2017
31161;2018
31161;2019
31161;2020
31161;2021
31161;2022
31161;2023
31161;2024
31171;2002
31171;2016
31171;2017
31171;2019
31171;2021
31181;2023
31181;2024
32111;2002
32111;2003
32111;2004
32111;2005
32111;2006
32111;2007
32111;2008
32111;2009
32111;2010
32111;2011
32111;2012
32111;2013
32111;2014
32111;2015
32111;2016
32111;2017
32111;2018
32111;2019
32111;2020
32111;2021
32111;2022
32111;2023
32111;2024
32121;2002
32121;2003
32121;2004
32121;2005
32121;2006
32121;2018
32121;2020
32121;2021
32121;2022
32121;2023
32121;2024
32211;2002
32211;2003
32211;2004
32211;2005
32211;2006
32211;2007
32211;2008
32211;2009
32211;2010
32211;2011
32211;2012
32211;2013
32211;2014
32211;2015
32211;2016
32211;2017
32211;2018
32211;2019
32211;2020
32211;2021
32211;2022
32212;2002
32212;2003
32212;2004
32212;2005
32212;2006
32212;2007
32212;2008
32212;2009
32212;2010
32212;2011
32212;2012
32212;2013
32212;2014
32212;2015
32212;2016
32212;2017
32212;2018
32212;2019
32212;2020
32212;2022
32212;2023
32212;2024
32411;2002
32411;2003
32411;2004
32411;2005
32411;2006
32411;2007
32411;2008
32411;2009
32411;2010
32411;2011
32411;2012
32411;2013
32411;2014
32411;2015
32411;2016
32411;2017
32411;2018
32411;2019
32411;2020
32411;2021
32411;2022
32411;2023
32411;2024
32518;2006
32518;2007
32518;2008
32518;2009
32518;2010
32518;2011
32518;2012
32518;2013
32518;2015
32518;2024
32519;2013
32519;2014
32519;2023
32521;2002
32521;2003
32521;2004
32521;2005
32521;2006
32521;2007
32521;2008
32521;2009
32521;2010
32521;2011
32521;2012
32521;2013
32521;2014
32521;2015
32521;2016
32521;2017
32521;2018
32521;2019
32521;2020
32521;2021
32521;2022
32521;2023
32521;2024
32541;2003
32541;2004
32541;2005
32541;2006
32541;2007
32541;2008
32541;2009
32541;2010
32541;2011
32541;2012
32541;2013
32541;2014
32541;2015
32541;2016
32541;2017
32541;2018
32541;2019
32541;2020
32541;2021
32541;2022
32541;2023
32541;2024
32619;2002
32619;2003
32619;2004
32619;2005
32619;2006
32619;2007
32619;2008
32619;2009
32619;2010
32619;2012
32619;2013
32619;2014
32619;2015
32619;2016
32619;2017
32619;2018
32619;2019
32619;2020
32619;2021
32619;2022
32619;2023
32619;2024
33111;2002
33111;2003
33111;2004
33111;2005
33111;2006
33111;2007
33111;2008
33111;2009
33111;2010
33111;2011
33111;2012
33111;2013
33111;2014
33111;2015
33111;2016
33111;2017
33111;2018
33111;2019
33111;2020
33111;2021
33111;2022
33111;2023
33111;2024
33131;2002
33131;2003
33131;2004
33131;2005
33131;2006
33131;2007
33131;2008
33131;2009
33131;2010
33131;2011
33131;2012
33131;2013
33131;2014
33131;2015
33131;2016
33131;2017
33131;2018
33131;2019
33131;2020
33131;2021
33131;2022
33131;2023
33131;2024
33141;2002
33141;2003
33141;2004
33141;2005
33141;2006
33141;2007
33141;2008
33141;2009
33141;2010
33141;2011
33141;2012
33141;2013
33141;2014
33141;2015
33141;2016
33141;2017
33141;2018
33141;2019
33141;2020
33141;2021
33141;2022
33141;2023
33141;2024
33324;2003
